highlights,no_ratings,prod_desc,product_name,product_price,product_rating
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1200 rpm  : Higher the spin speed, lower the drying time,7.5 kg",9,,"IFB 7.5 kg Fully Automatic Front Load with In-built Heater White,  (ELITE PLUS SXR)","36,499",3.7
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 12,6.5 kg : Great for a family of 3",131,"Aqua Energie,Cradle Wash,3D Wash System,Laundry Add,Express Wash,Crescent Moon Drum,Air Bubble Wash,High Low Voltage Protection,Auto Imbalance System,Child Lock,Foam-control System,Baby Wear,Anti Allergen,Time Delay","IFB 6.5 kg Fully Automatic Front Load with In-built Heater White,  (Senorita WX)","33,699",4.3
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1200 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 14,7.5 kg : Great for family of 4",38,"Aqua Energie,Cradle Wash,Crescent Moon Drum,Ball Valve Technology,Air Bubble Wash,High Low Voltage Protection,Auto Imbalance System,Child Lock,Foam Control System,4D Wash System,Baby Wear,Clean Clothes,Time Delay,9 Swirl Wash","IFB 7.5 kg Fully Automatic Front Load with In-built Heater White,  (Elite Plus VX ID)","40,549",4.3
"Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,720 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 6 : With higher wash programs-Wash a variety of fabrics,6.5 kg : Great for a family of 3",634,"Deep Clean Technology,Aqua Spa Therapy,Aqua Energie,3D Wash System,Triadic Pulsator,Smart Sense,Auto Softener Dispenser,Crescent Moon Drum,Hygiene Plus,Auto Balance System,Express Wash,High Low Voltage Protection","IFB 6.5 kg Fully Automatic Top Load Grey,  (TL-RCG/RCSG 6.5 KG AQUA)","21,299",4.3
"Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,720 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 10,7.5 kg : Great for family of 4",218,"Aqua Energie,Tiradic Pulsator,3D Wash System for a Thorough Wash,Smart Sense,Aqua Conserve,Not a Trace of Detergent Residue,Drum Lamp","IFB 7.5 kg Fully Automatic Top Load Silver,  (TL- SDR /SSDR Aqua)","28,944",4.2
"Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,720 rpm  : Higher the spin speed, lower the drying time,7 kg : Great for a family of 3","5,153","Deep Clean Technology,Aqua Spa Therapy,Aqua Energie,Triadic Pulsator,Auto Softener Dispenser,Crescent Moon Drum,Hygiene Plus,Auto Balance System,Protection from Voltage Fluctuations","IFB 7 kg Fully Automatic Top Load White,  (TL- SDW 7.0KG AQUA)","20,490",4.3
"Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,720 rpm  : Higher the spin speed, lower the drying time,8 kg : Great for family of 4",97,"Deep Clean Technology,Aqua Spa Therapy,Aqua Energie,Triadic Pulsator,Auto Softener Dispenser,Crescent Moon Drum,Hygiene Plus,Auto Balance System,Protection from Voltage Fluctuations","IFB 8 kg Fully Automatic Top Load Grey,  (TL- SDG / SSDG Aqua)","31,499",4
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,800 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 15 : With higher wash programs-Wash a variety of fabrics,6 kg : Great for Single/Couple",117,,"IFB 6 kg Fully Automatic Front Load with In-built Heater Silver,  (Diva Aqua SX)","24,990",4.2
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 13 : With higher wash programs-Wash a variety of fabrics,6.5 kg : Great for a family of 3",90,"Aqua Energie,Cradle Wash,Smartphone Control,Time Saver,Crescent Moon Drum,Laundry Add Option,Auto Imbalance System,3D Wash System,Express Wash,Air Bubble Wash,Voltage Protection,Child Lock,Foam-control System,Time Delay","IFB 6.5 kg Fully Automatic Front Load with In-built Heater Silver,  (Senorita Smart SX)","31,499",4.3
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 15 : With higher wash programs-Wash a variety of fabrics,6.5 kg : Great for a family of 3","1,311","Performance,Daily Needs,Hygiene & Safety Programs,3D Wash System,Aqua Energie,Power","IFB 6.5 kg Fully Automatic Front Load with In-built Heater White,  (Senorita Aqua VX)","29,999",4.4
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1200 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 15 : With higher wash programs-Wash a variety of fabrics,7 kg : Great for a family of 3",563,"Type & Design,Performance,Daily Needs,Hygiene & Safety Programs,3D Wash System,Aqua Energie,Air Bubble Wash System,Power","IFB 7 kg Fully Automatic Front Load with In-built Heater Silver,  (Elite Aqua SX)","32,490",4.4
"Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,720 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 12 : With higher wash programs-Wash a variety of fabrics,8 kg : Great for family of 4",97,,"IFB 8 kg Fully Automatic Top Load Silver,  (TL- SSDG Aqua)","28,899",4
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1200 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 100 : With higher wash programs-Wash a variety of fabrics,7 kg : Great for a family of 3",61,"Type and Design,Easy Loading Pedestal,Ball Valve Technology,Uniform Wash,Repeat Wash,Pet Hair Removal,Aqua Energie,Air Bubble Wash System,Crescent Moon Drum,Power","IFB 7 kg Fully Automatic Front Load with In-built Heater White,  (SENATOR SMART VX)","33,950",3.7
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 15 : With higher wash programs-Wash a variety of fabrics,6 kg : Great for Single/Couple",823,"Aqua Energie,2D Shower System,Laundry Add,Crescent Moon Drum,Protective Rat Mesh,Foam Control","IFB 6 kg Fully Automatic Front Load with In-built Heater Silver,  (Elena Aqua SX LDT)","28,690",4.3
