highlights,no_ratings,prod_desc,product_name,product_price,product_rating,tech_details,brand
"Warranty: 1 year on product, 1 years on magnetron,23L capacity: Suitable for family of 3-4,Convection: can be used for baking along with grilling, Reheating, defrosting and cooking,1 year on product, 10 year on ceramic enamel,Dual dial, easytronics control panel, epoxy cavity",2,,"Samsung 23 L Solo Microwave Oven (MS23F300EEK/TL, Black)",,,"Brand,Samsung,Model,MS23F300EEK/TL,Capacity,23 Liters,Installation Type,Free-Standing,Oven Cooking Mode,Solo,Colour,Black,Voltage,230 Volts,Fuel Type,Electric,Material,Steel,Included Components,1 Microwave Oven,1 User Manual,Batteries Required,No, , ",Samsung
"32L : Suitable for large families ; Power Source: 230V/50Hz ; Power Level: 6 ; Convection Temperature: 40-200 ; Control Method: Touch+Dial,Convection: Can be used for baking along with grilling, reheating, defrosting and cooking,Slimfry technology : Enjoy healthier fried food without deep fryer,Indian recipes for quick prepration, Easy cleaning of interiors with Ceramic Enamel cavity,Warranty : 1 year on Product & 5 years on Megnetron & 10 years on Ceramic Cavity,Brand does NOT provide a starter kit with this product,Control: Tact button and Jog Dials that are easy to use with a long life,Child Lock: Ensures complete safety especially for homes with small children",139,,"Samsung 32 L Convection Microwave Oven (MC32J7035CT/TL, Grey)",,4.2,"Brand,Samsung,Model,MC32J7035CT/TL,Capacity,32 Kilograms,Volume Capacity Name,32 Liters,Installation Type,Free-Standing,	Part Number	,EF-QN960TTEGWW,Oven Cooking Mode,Convection,Colour,Grey,Voltage,230 Volts,Fuel Type,Electric,Material,Stainless-Steel,Included Components,1 Microwave Unit, Warranty Card and User Manual,Batteries Required,No, , ",Samsung
"23L : Suitable for families with 3 to 4 members,Solo: Can be used for reheating, defrosting and cooking,Indian recipes for quick prepration, Easy cleaning of interiors with Ceramic Enamel cavity,Warranty: 1 year on Product & 1 year on Magnetron & 10 years on Cavity,Brand does NOT provide a starter kit with this product,Control: Tact button and Jog Dials that are easy to use with a long life,Child Lock: Ensures complete safety especially for homes with small children",1269,"Ceramic Enamel Cavity ,Healthy Cooking ,Indian Recipe ,Premium Stylish Design ,Stylish Handle ,Easy Control with a Dial ,Easy to Clean ","Samsung 23 L Solo Microwave Oven (MS23F301TAK/TL, Black)",,4.3,"Brand,Samsung,Model,MS23F301TAK/TL,Capacity,23 Liters,Volume Capacity Name,23 Liters,Installation Type,Countertop,	Part Number	,MS23F301TAK,Special Features,Tact Button/Jog Dial,Oven Cooking Mode,Solo,Colour,Black,Voltage,230 Volts,Wattage,1150 Watts,Material,18/10 Steel,Included Components,SAMSUNG 23LT SOLO MICROWAVE OVEN,Batteries Included,No,Batteries Required,No, , ",Samsung
"Warranty: 1 year comprehensive warranty on product,Warranty: 1 year comprehensive warranty on product,Triple distribution system,High scratch resistance,Easy to clean,Anti-bacterial protection,Comes with a ceramic cavity,L3",1,,"Samsung 21 L Convection Microwave Oven (CE76JD, Silver)",,,"Brand,Samsung,Model,Amazon/Seller Fulfilled,Capacity,21 Liters,	Part Number	,CE76JD,Oven Cooking Mode,Convection,Colour,Silver,Wattage,2350 Watts,Batteries Included,No,Batteries Required,No, , ",Samsung
"28L : Suitable for large families,Convection: Can be used for baking along with grilling, reheating, defrosting and cooking,Warranty : 1 year on Product & 5 years on Megnetron & 10 years on Ceramic Cavity,Brand does NOT provide a starter kit with this product,Control: Touch Key Pad (Membrane) is sensitive to touch and easy to clean,Child Lock: Ensures complete safety especially for homes with small children,For queries contact customer care: 1800 40 7267864,Slimfry technology : Enjoy healthier fried food without deep fryer. Turntable Size : 318 mm",675,"Indian Recipe ,Utilize Every Inch ,Banish Food Odors ,Premium Stylish Design ,Superior Ceramic Interior ,Ice Blue LED ,Child Lock ","Samsung 28 L Convection Microwave Oven (CE1041DSB2/TL, Black, SlimFry)",10750,4.2,"Brand,Samsung,Model,CE1041DSB2/TL,Capacity,28 Liters,Volume Capacity Name,28 Liters,Installation Type,Countertop,	Part Number	,CE1041DSB2/TL,Special Features,Touch Panel,Oven Cooking Mode,Convection,Colour,Black,Wattage,2900 Watts,Material,Ceramic Enamel,Included Components,Microwave oven, Wire rack, Crusty plate and Quick guide label,Batteries Included,No,Batteries Required,No, , ",Samsung
"Warranty: 1 year on product, 5 years on magnetron,Solo, tact and dial control buttons. Output Power (Microwave) 800 W,Power defrost function; Power Consumption (Microwave):1150W,Keep warm function, Child safety lock: Yes,Contact_us on: [1800407267864] [180057267864]",526,"Food Warming ,Healthy Cooking ,Soften/Melt ,Power Defrost ,Sleek Design ,CERAMIC INSIDE ","Samsung 23 L Solo Microwave Oven (MS23J5133AG/TL, Black)",,4.1,"Brand,Samsung,Model,MS23J5133AG/TL,Capacity,23 Liters,Volume Capacity Name,23 Liters,Installation Type,Counter-Top,Oven Cooking Mode,Solo,Colour,Black,Voltage,230 Volts,Fuel Type,Electric,Material,Ceramic,Included Components,Microwave, Turntable and Manual,Batteries Included,No,Batteries Required,No, , ",Samsung
"23L : Suitable for families with 3 to 4 members; Power Consumption (Microwave):1150 W,Solo: Can be used for reheating, defrosting and cooking,Indian recipes for quick prepration, Easy cleaning of interiors with Ceramic Enamel cavity,Warranty: 1 year on Product & 1 year on Magnetron & 10 years on Cavity,Brand does NOT provide a starter kit with this product,Control: Tact buttons for long life and are easy to clean,Child Lock: Ensures complete safety especially for homes with small children",175,"Indian Recipes ,Ceramic Inside ,Quick Defrost ,Keep Warm ,ECO Mode ,Deodorization ","Samsung 23 L Solo Microwave Oven (MS23K3513AK/T, Black)",6065,4.1,"Brand,Samsung,Model,MS23K3513AK/T,Capacity,23 Liters,Volume Capacity Name,23 Liters,Installation Type,Counter-Top,	Part Number	,8801643263942,Oven Cooking Mode,Solo,Colour,Black,Voltage,230 Volts,Fuel Type,Electric,Material,Ceramic,Included Components,Microwave, Turntable and Manual,Batteries Included,No,Batteries Required,No, , ",Samsung
"28L Capacity: Suitable for large families,Convection: Can be used for baking along with grilling, reheating, defrosting and cooking,Warranty : 1 Year Complete + 4 Years additional warranty on Magnetron,Brand does NOT provide starter kit with this product,Banish food odors,It comes with a slim fry,Banish food odors,Power: 2900 watts,Includes: Microwave oven,Includes: Microwave oven,For queries/assistance please contact the support no.:1-800-726-7864,Country of Origin: India",63,,"Samsung 28 L Convection Microwave Oven (MC28H5033CK, Black)",15900,4,"Brand,Samsung,Model,MC28H5033CK/TL,Capacity,28 Liters,Volume Capacity Name,28 Liters,Installation Type,Countertop,	Part Number	,MC28H5033CK,Special Features,Touch Panel,Oven Cooking Mode,Convection,Colour,Black,Wattage,2900 Watts,Material,Metal,Included Components,Microwave oven,Batteries Included,No,Batteries Required,No, , ",Samsung
"28L Capacity: Suitable for large families; Power Consumption(Microwave):1400 W,Convection: Can be used for baking along with grilling, reheating, defrosting and cooking,Warranty : 1 year comprehensive warranty on product & 5 years on Magnetron,Brand does NOT provide starter kit with this product,Control Type: Touch Key Pad (Membrane) is sensitive to touch and easy to clean; Also included in the box: User manual, warranty card",19,"Enjoy Healthier Fried Food ,Tandoor Technology ,Curd Any Time ,Enjoy Local Tastes ,Banish Food Odors ,Keep it Clean with Ceramic ","Samsung 28 L Convection Microwave Oven (MC28H5025VK, Black)",,4,"Brand,Samsung,Model,MC28H5025VK/TL,Capacity,28 Liters,Volume Capacity Name,28 Liters,	Part Number	,MC28H5025VK,Special Features,Touch Panel,Oven Cooking Mode,Convection,Colour,Black,Wattage,2900 Watts,Material,Ceramic Enamel,Included Components,Microwave oven, Wire rack, Crusty plate, Multi spit and Quick guide label,Batteries Included,No,Batteries Required,No, , ",Samsung
"Warranty: 1 year warranty on product and 5 years on Magnetron. Note that 5 years magnetron warranty is a special offer valid on invoice issued during 10 Sep 2017 to 31 Oct 2017,Preheat and keep warm and clock with 30 seconds and eco mode,Defrost (Auto/Power/Sensor): Power,Brand does NOT provide starter kit with this product,Auto programs, turntable on or off and child lock,Sound on or off,Cavity Material: Ceramic enamel,Convection Heater: Quartz,Country of Origin: India",25,,"Samsung 28 L Convection Microwave Oven (MC28H5025VB/TL, Black)",17300,4,"Brand,Samsung,Model,MC28H5025VB/TL,Capacity,28 Liters,Volume Capacity Name,28 Liters,	Part Number	,MC28H5025VB/TL/DP,Special Features,Touch Panel,Oven Cooking Mode,Convection,Colour,Black,Voltage,230 Volts,Wattage,2900 Watts,Material,Metal,Included Components,Microwave oven, Turn table, Pizza base, Tawa, Crusty plate and High or low rack,Batteries Included,No,Batteries Required,No, , ",Samsung
"21L Capacity: Suitable for bachelors or small families,Convection: Can be used for baking along with grilling, reheating, defrosting and cooking,Warranty : 1 Year Complete + 4 Years additional warranty on Magnetron,Brand does NOT provide starter kit with this product,Control Type: Touch Key Pad (Membrane) is sensitive to touch and easy to clean,Also included in the box: User manual, warranty card,Control Type: Touch Key Pad (Membrane) is sensitive to touch and easy to clean",32,"Curd Any Time ,Enjoy Local Tastes ,Keep It Clean with Ceramic ,Tandoor Technology ","Samsung 21 L Convection Microwave Oven (CE77JD-SB/XTL, Black)",15200,3,"Brand,Samsung,Model,CE77JD-SB/XTL,Capacity,21 Liters,Volume Capacity Name,21 Liters,	Part Number	,CE77JD-SB/XTL,Special Features,Touch Panel,Oven Cooking Mode,Convection,Colour,Black,Wattage,2350 Watts,Material,Metal,Included Components,Microwave Oven,Batteries Included,No,Batteries Required,No, , ",Samsung
